course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Civil Engineering,TKM,"T K M College of Engineering, Kollam.",G,8758,11041,8970,10752,21004,10871,14020,14893,30218,31593,28649,58930,-,"FW:6324, SD:27082",3
Civil Engineering,TRV,"Government Engineering College Barton Hill, Thiruvananthapuram",G,10673,13127,12577,15344,31141,12143,15053,11727,-,-,33388,49511,18593,FW:8577,3
Civil Engineering,TVE,"College of Engineering,Thiruvananthapuram.",G,4984,6132,6143,8676,20382,7239,5772,5392,13625,20392,15550,39690,11758,"FW:3282, PD:51285, PT:1, RP:12642, SD:12790, XS:8108",3
Civil Engineering,AEC,"College of Engineering of Aranmula, Pathanamthitta",N,64415,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,CEM,"College of Engineering Muttathara, Thiruvananthapuram",N,45073,64380,65224,47356,-,52445,55487,-,-,-,57332,-,50268,,4
Civil Engineering,KGR,"College of Engineering Kidangoor, KOTTAYAM",N,53928,64935,57785,-,62068,64950,-,60945,-,61457,64048,63941,-,,4
Civil Engineering,KSD,"LBS College of Engineering, Kasaragod",N,35170,37663,36705,-,57159,36168,38405,-,-,-,54654,57305,-,"FW:20243, MG:50511",4
Civil Engineering,LBT,"LBS Institute of Technology for Women, Thiruvananthapuram",N,21049,28345,26318,29485,-,21209,30174,-,-,56095,48117,61594,43214,"FW:12986, MG:39198",4
Civil Engineering,PEC,"College of Engineering Pathanapuram, Kollam",N,57863,58682,-,-,-,-,58946,-,-,-,61717,-,61613,,4
Civil Engineering,PRP,"CAPE College of Engineering, Punnapra, Alappuzha",N,65362,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,TKR,"College of Engineering, Trikaripur",N,49837,52368,50926,-,-,63617,57041,-,-,-,57356,-,59653,FW:21737,4
Civil Engineering,TLY,"College of Engineering,Thalassery, Kannur",N,28801,35456,31496,-,-,31682,41465,-,-,-,62814,-,-,"CB:50732, FW:19572",4
Civil Engineering,VDA,"College of Engineering, Vadakara",N,42633,47240,47831,60986,-,45869,43796,-,-,-,59859,-,55805,FW:26553,4
Civil Engineering,AAE,"Al-Azhar College of Engineering and Technology, Idukki",S,57791,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,AAP,"Al-Ameen Engineering College, Palakkad",S,58760,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,AIK,"Albertian Institute of Science and Technology, Kochi",S,62150,-,-,-,-,-,-,-,-,-,-,-,-,YA:61941,4
Civil Engineering,AJC,"Amal Jyothi College of Engineering, Kottayam",S,40112,49286,45251,59503,-,-,-,-,-,-,65386,59900,-,"FW:33176, YB:65036",4
Civil Engineering,AME,"Rajadhani Institute of Science and Technology, Palakkad",S,64353,-,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,ASI,"Adi Shankara Institute of Engineering and Technology, Ernakulam",S,40978,51189,44930,-,60007,53051,53852,-,-,-,59580,63660,57932,,4
Civil Engineering,ATP,"Ahalia School of Engineering and Technology, Palakkad",S,59125,63723,-,-,-,-,-,-,-,-,-,-,-,,4
Civil Engineering,AWH,"AWH Engineering College, Kozhikkode",S,64359,-,-,-,-,-,-,-,-,-,-,-,-,FW:36613,4
Civil Engineering,BJK,"Bishop Jerome Institute, Kollam",S,49729,54260,56130,58680,-,52884,56009,-,-,-,-,-,-,"FW:41128, YC:64963",4
Civil Engineering,BMC,"Baselios Mathews II College of Engineering, Kollam",S,62511,-,-,-,-,-,-,-,-,-,-,-,-,FW:43317,5
Civil Engineering,CCE,"Christ College of Engineering, Thrissur",S,45110,53422,48429,-,49322,-,-,-,-,-,59809,-,-,"FW:31820, YU:63978",5
Civil Engineering,CEN,"College of Engineering and Technology, Payyannur, Kannur.",S,65359,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,CMA,"Carmel College of Engineering and Technology,Alappuzha",S,50767,51601,53605,64478,-,59399,58274,-,-,-,61896,-,-,FW:39849,5
Civil Engineering,DMC,"M. Dasan Institute of Technology, Kozhikode",S,62753,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,EKC,"Eranad Knowledge City Technical Campus, Malappuram",S,56696,-,61568,-,-,-,-,-,-,-,61881,-,-,FW:29556,5
Civil Engineering,FIT,"Federal Institute of Science and Technology, Ernakulam",S,28849,35012,36734,38094,48786,51331,32157,46873,-,47459,63956,62325,-,FW:22324,5
Civil Engineering,ICE,"Ilahia College of Engineering and Technology, Ernakulam",S,55544,-,60665,-,-,-,-,-,-,-,-,-,-,FW:27069,5
Civil Engineering,IES,"I E S College of Engineering, Thrissur",S,59318,-,-,-,-,-,-,-,-,-,-,-,-,FW:42667,5
Civil Engineering,IGW,"Indira Gandhi Institute of Engineering and Technology, Ernakulam",S,9999,13204,13279,-,-,-,-,-,-,-,12334,-,-,,5
Civil Engineering,JEC,"Jyothi Engineering College, Thrissur",S,57611,62348,57812,-,-,-,-,-,-,-,-,-,-,"FW:28021, YZ:32290",5
